,title,author,repository,category,created_at,approval_time_days,curators,comments_count,review_comments_count,commits_count,additions_count,deletions_count,changed_files_count,performance_score,is_stale,state,GitHub Link
2,Create solarakinsoulsync.md,,w3f_grants,,2025-07-17,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2601
3,Create solarakinsoulsync.md ,,w3f_grants,,2025-07-17,N/A,None,0,0,0,0,0,0,0.0,No,open,https://github.com/w3f_grants/issues/2600
4,Create solarakinsoulsync.md,,w3f_grants,,2025-07-17,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2599
5,Create solarakinsoulsync.md,,w3f_grants,,2025-07-17,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2598
6,Create solarakinsoulsync.md,,w3f_grants,,2025-07-17,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2597
7,Create solarakinsoulsync.md,,w3f_grants,,2025-07-17,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2596
8,Create solarakinsoulsync.md,,w3f_grants,,2025-07-17,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2595
9,Create energy_anchoring_polkadot.md,,w3f_grants,,2025-07-16,N/A,None,0,0,0,0,0,0,0.0,No,open,https://github.com/w3f_grants/issues/2594
10,Create energy_anchoring_polkadot.md,,w3f_grants,,2025-07-16,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2593
13,update Polka_Spell.md,,w3f_grants,,2025-07-12,N/A,None,0,0,0,0,0,0,0.0,No,open,https://github.com/w3f_grants/issues/2592
14,Homebase Grant Application with Progress and Demo Link,,w3f_grants,,2025-07-11,N/A,None,0,0,0,0,0,0,0.0,No,open,https://github.com/w3f_grants/issues/2591
15,Homebase Grant Application,,w3f_grants,,2025-07-11,N/A,None,0,0,0,0,0,0,0.0,No,open,https://github.com/w3f_grants/issues/2590
16,Create HomeBase.md,,w3f_grants,,2025-07-11,N/A,None,0,0,0,0,0,0,0.0,No,open,https://github.com/w3f_grants/issues/2589
17,From Community to DAO Tools and Guides,,w3f_grants,,2025-07-10,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2588
18,From Community to DAO Tools and Guides,,w3f_grants,,2025-07-10,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2587
20,Update index.md,,w3f_grants,,2025-07-08,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2586
21,Added Wildcard Asset Hub grant.,,w3f_grants,,2025-07-08,N/A,None,0,0,0,0,0,0,0.0,No,open,https://github.com/w3f_grants/issues/2585
24,CognideX Application,,w3f_grants,,2025-07-07,N/A,None,0,0,0,0,0,0,0.0,No,open,https://github.com/w3f_grants/issues/2584
26,"dotnix-follow-up: change of company, bank details.",,w3f_grants,,2025-07-04,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2583
28,CHAINVISTA.md,,w3f_grants,,2025-06-30,N/A,None,0,0,0,0,0,0,0.0,No,open,https://github.com/w3f_grants/issues/2582
33,Create linkora-polkadot-dex.md,,w3f_grants,,2025-06-28,N/A,None,0,0,0,0,0,0,0.0,No,open,https://github.com/w3f_grants/issues/2581
38,Grant Application Level 2: Wealth Free Life — Public Beta & Web3 Launch,,w3f_grants,,2025-06-27,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2580
41,Update application-template.md,,w3f_grants,,2025-06-25,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2579
45,Benchmarking Blockchain Data Availability: Polkadot ELVES vs Modular DA Layers,,w3f_grants,,2025-06-20,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2578
47,Create coinfantasy.md,,w3f_grants,,2025-06-18,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2577
48,Create Chainvista,,w3f_grants,,2025-06-18,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2576
51,  TxSim: Transaction Simulator and Risk Detector for Polkadot,,w3f_grants,,2025-06-16,N/A,None,0,0,0,0,0,0,0.0,No,open,https://github.com/w3f_grants/issues/2575
56,BlockDeep PVM Research Grant Application,,w3f_grants,,2025-06-12,N/A,None,0,0,0,0,0,0,0.0,No,open,https://github.com/w3f_grants/issues/2574
57,Add Aivot grant proposal,,w3f_grants,,2025-06-12,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2573
58,Add my project proposal,,w3f_grants,,2025-06-12,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2572
59,Add substrate-interface maintenance application,,w3f_grants,,2025-06-12,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2571
